RideID;RideAddressID;Coordenadas Inicio;Coordenadas Fim;Distancia_km;Duracao_min;ProductID;Price;ProductID_normalizado;CategoriaFinal
1183304;2334485;-23.6791749,-46.669339699999995;-23.59719999999999,-46.7814184;22.16;46.33;Comfort;72.0;comfort;Comfort
1183304;2334485;-23.6791749,-46.669339699999995;-23.59719999999999,-46.7814184;22.16;46.33;Bag;51.5;bag;Comfort
1183305;2334487;-26.9331775,-48.6488546;-26.9131424,-48.689696;7.77;17.98;Comfort;24.5;comfort;Comfort
1183306;2334489;-22.810214,-43.403851499999995;-22.9221399,-43.2493486;27.49;49.57;Comfort;90.0;comfort;Comfort
1183307;2334491;-23.7764283,-46.6948362;-23.6793193,-46.6750793;15.47;36.1;Comfort;65.0;comfort;Comfort
1183307;2334491;-23.7764283,-46.6948362;-23.6793193,-46.6750793;15.47;36.1;Bag;60.5;bag;Comfort
1183310;2334497;-23.9624233,-46.25465759999999;-23.8373074,-46.1321725;33.89;34.37;Comfort;68.5;comfort;Comfort
1183311;2334499;-16.6215775,-49.3193707;-16.64579389999999,-49.3106918;4.57;8.8;Comfort;14.5;comfort;Comfort
1183312;2334501;-23.6754917,-46.6526757;-23.4753983,-46.77725979999999;34.69;48.12;Comfort;100.5;comfort;Comfort
1183312;2334501;-23.6754917,-46.6526757;-23.4753983,-46.77725979999999;34.69;48.12;Bag;96.5;bag;Comfort
1183313;2334503;-19.8867255,-44.03543299999999;-19.8743038,-44.0173988;2.68;6.22;Comfort;10.5;comfort;Comfort
1183314;2334505;-22.136952299999997,-51.402924899999995;-22.1316724,-51.39099040000001;2.6;7.4;Comfort;9.0;comfort;Comfort
1183316;2334509;-23.484748,-46.5666986;-23.522013,-46.601571;8.54;11.88;Comfort;31.5;comfort;Comfort
1183316;2334509;-23.484748,-46.5666986;-23.522013,-46.601571;8.54;11.88;Bag;29.5;bag;Comfort
1183317;2334511;-23.110073,-46.544610399999996;-23.1374996,-46.5748109;11.49;14.08;Comfort;26.5;comfort;Comfort
1183318;2334513;-26.966300099999998,-48.6408683;-26.9117939,-48.6917325;11.95;25.6;Comfort;29.5;comfort;Comfort
1183319;2334515;-23.7764283,-46.6948362;-23.6793193,-46.6750793;15.47;36.1;Comfort;69.5;comfort;Comfort
1183319;2334515;-23.7764283,-46.6948362;-23.6793193,-46.6750793;15.47;36.1;Bag;65.0;bag;Comfort
1183320;2334517;-23.2921561,-51.1769469;-23.2972659,-51.19692240000001;2.67;6.45;Comfort;9.5;comfort;Comfort
1183321;2334519;-23.119902,-46.478971;-23.1178978,-46.5763917;12.95;13.63;Comfort;27.5;comfort;Comfort
1183322;2334521;-23.110073,-46.544610399999996;-23.1374996,-46.5748109;11.49;14.08;Comfort;26.5;comfort;Comfort
1183323;2334523;-22.8475702,-43.351245899999995;-22.8770189,-43.26768149999999;13.09;25.73;Comfort;30.5;comfort;Comfort
1183324;2334525;-22.8475702,-43.351245899999995;-22.8770189,-43.26768149999999;11.66;23.53;Comfort;30.5;comfort;Comfort
