RideID;RideAddressID;Coordenadas Inicio;Coordenadas Fim;Distancia_km;Duracao_min;ProductID;Price;ProductID_normalizado;CategoriaFinal
1183579;2335035;-22.8764504,-43.2899272;-22.9450514,-43.1857261;19.52;24.8;Black;62.0;black;Black
1183584;2335045;-29.830519400000004,-51.1271905;-29.9213383,-51.1827634;18.01;23.07;Black;66.5;black;Black
1183585;2335047;-22.8764504,-43.2899272;-22.9637812,-43.1717079;23.97;30.07;Black;78.5;black;Black
1183588;2335053;-25.4443912,-49.2873001;-25.441213,-49.23580210000001;7.0;16.27;Black;33.5;black;Black
1183590;2335057;-19.9262921,-43.9344378;-19.9330749,-43.9305992;0.89;3.02;Black;12.0;black;Black
1183591;2335059;-22.8764504,-43.2899272;-22.9637812,-43.1717079;23.97;30.07;Black;78.5;black;Black
1183592;2335061;-19.9262921,-43.9344378;-19.9330749,-43.9305992;0.89;3.02;Black;12.0;black;Black
1183593;2335063;-25.444256900000003,-49.2874041;-25.441213,-49.23580210000001;7.01;16.28;Black;33.5;black;Black
1183596;2335069;-29.830519400000004,-51.1271905;-29.9213383,-51.1827634;18.01;23.07;Black;66.0;black;Black
1183603;2335083;-23.6836669,-46.6455492;-23.6018661,-46.6934032;12.27;33.13;Black;50.5;black;Black
1183603;2335083;-23.6836669,-46.6455492;-23.6018661,-46.6934032;12.27;33.13;Black Bag;62.0;black bag;Black
1183605;2335087;-19.856938,-43.968866;-19.90628419999999,-43.9712971;7.96;15.55;Black;29.5;black;Black
1183608;2335093;-23.6262688,-46.4993957;-23.6144128,-46.5780264;10.93;29.93;Black;49.5;black;Black
1183608;2335093;-23.6262688,-46.4993957;-23.6144128,-46.5780264;10.93;29.93;Black Bag;60.0;black bag;Black
1183610;2335097;-23.5387688,-46.531532;-23.5466855,-46.56360619999999;4.94;11.78;Black;22.0;black;Black
1183610;2335097;-23.5387688,-46.531532;-23.5466855,-46.56360619999999;4.94;11.78;Black Bag;27.5;black bag;Black
1183616;2335109;-23.602254,-46.510723299999995;-23.599008,-46.465244;8.84;17.17;Black;33.5;black;Black
1183618;2335113;-22.8286933,-43.0552278;-22.7662446,-42.9159929;20.51;25.07;Black;62.0;black;Black
1183621;2335119;-22.883858,-43.4421302;-22.9044983,-43.2864837;19.93;39.2;Black;64.0;black;Black
1183622;2335121;-23.538776,-46.531564599999996;-23.5466855,-46.56360619999999;4.94;11.77;Black;22.5;black;Black
1183622;2335121;-23.538776,-46.531564599999996;-23.5466855,-46.56360619999999;4.94;11.77;Black Bag;27.5;black bag;Black
1183623;2335123;-23.4912508,-46.5689882;-23.5066064,-46.6003012;5.33;14.52;Black;24.5;black;Black
1183623;2335123;-23.4912508,-46.5689882;-23.5066064,-46.6003012;5.33;14.52;Black Bag;29.5;black bag;Black
1183624;2335125;-23.538776,-46.531564599999996;-23.5466855,-46.56360619999999;4.94;11.77;Black;22.5;black;Black
